Date,Open,High,Low,Close,Adj Close,Volume
08-04-2021,2630,2658.399902,2628,2650.649902,2593.781494,897483
09-04-2021,2635,2655,2610.149902,2630.800049,2574.357666,1185017
12-04-2021,2578.199951,2610,2555,2602.199951,2546.371338,1427691
13-04-2021,2600,2626,2564.300049,2570.699951,2515.546631,1200230
15-04-2021,2590,2593.550049,2537,2587.699951,2532.182373,1209829
16-04-2021,2587.600098,2693.5,2581.699951,2663.699951,2606.551758,2760777
19-04-2021,2650,2650,2566.850098,2571.899902,2516.721191,1552036
20-04-2021,2600,2604.699951,2528.800049,2553.649902,2498.862305,1489287
22-04-2021,2555.649902,2557,2488,2511.25,2457.372314,1690758
23-04-2021,2527.100098,2565,2496.199951,2517.949951,2463.928467,1614593
26-04-2021,2530,2575,2530,2557.899902,2503.021484,1103980
27-04-2021,2545,2579.899902,2534,2574.350098,2519.118896,866331
28-04-2021,2588,2620.25,2575,2614.550049,2558.456299,1065561
29-04-2021,2630,2642,2570,2613.449951,2557.379639,1295346
30-04-2021,2595,2605.800049,2524.050049,2536.399902,2481.98291,1384907
03-05-2021,2510,2595.100098,2505.600098,2582.149902,2526.751465,1034774
04-05-2021,2605,2617.949951,2571.550049,2587.149902,2531.644043,1058140
05-05-2021,2617,2617,2546.100098,2567.649902,2512.5625,1220186
06-05-2021,2579.850098,2581.850098,2528,2549.050049,2494.361328,1518119
07-05-2021,2555,2590,2541.5,2551.649902,2496.905518,1416102
10-05-2021,2589,2589,2542.149902,2556.949951,2502.091797,1526814
11-05-2021,2533,2562,2521.300049,2556.25,2501.406982,1168363
12-05-2021,2577,2588.949951,2530,2556.199951,2501.35791,2085630
14-05-2021,2620,2835.25,2601.550049,2774.5,2714.974365,10543708
17-05-2021,2782,2824.199951,2747.550049,2782.75,2723.047363,2134352
18-05-2021,2797,2845,2789,2821.800049,2761.259521,1328605
19-05-2021,2805.149902,2849,2798.649902,2815.850098,2755.4375,1219067
20-05-2021,2814,2845,2778.5,2794.100098,2734.153809,1211975
21-05-2021,2807,2854,2795,2832.5,2771.730225,1328308
24-05-2021,2846,2849,2808.199951,2819.199951,2758.715576,813091
25-05-2021,2836.899902,2922.649902,2822.75,2914.399902,2851.873047,2730112
26-05-2021,2939.850098,2947.899902,2910.399902,2941.600098,2878.489502,1250531
27-05-2021,2950,2965,2902.25,2949.350098,2886.073486,2415085
28-05-2021,2958.149902,2963.800049,2931.149902,2940.699951,2877.608887,711383
31-05-2021,2938,2989.949951,2936.100098,2977.5,2913.619141,2093635
01-06-2021,2965,2982.600098,2915.100098,2931,2868.116699,1194073
02-06-2021,2918.850098,2933.75,2877.149902,2903.699951,2841.402588,2067842
03-06-2021,2919.600098,2942,2904.050049,2935.350098,2872.373535,1404434
04-06-2021,2953,2990,2908,2924.899902,2862.147949,1509084
07-06-2021,2930,2941,2903.949951,2933.100098,2870.171875,802415
08-06-2021,2928,2944.25,2907.5,2926.25,2863.468994,762931
09-06-2021,2930.800049,2965,2919.600098,2943.550049,2880.397705,1340352
10-06-2021,2945,2959.300049,2920.649902,2950.600098,2901.5896,1344559
11-06-2021,2960,2971.600098,2938.600098,2956.25,2907.145996,878445
14-06-2021,2955.100098,2970,2916.5,2949.899902,2900.901123,746823
15-06-2021,2970,3050,2960.949951,3042.199951,2991.668213,2262031
16-06-2021,3029,3042.199951,3005.5,3018.699951,2968.55835,859505
17-06-2021,3017.949951,3073.949951,3000.5,3060.300049,3009.467773,1533864
18-06-2021,3061.550049,3077.800049,3016.050049,3047.199951,2996.585205,2293860
21-06-2021,3024.199951,3079.149902,3021.050049,3068.550049,3017.580566,720491
22-06-2021,3085,3092.850098,3004.199951,3010.800049,2960.790039,1199238
23-06-2021,3030,3030,2983.5,2987.350098,2937.729492,1009007
24-06-2021,2987.350098,3049.699951,2975.449951,3043.25,2992.700928,985596
25-06-2021,3030.199951,3053.5,2985,3003.899902,2954.00415,786964
28-06-2021,3024,3038.850098,2976.25,2982.949951,2933.402588,891695
29-06-2021,2989,3023.850098,2973.050049,3001.5,2951.644287,1242734
30-06-2021,2999,3030,2985.649902,2992.699951,2942.990234,924522
01-07-2021,3008,3026.899902,2997,3021.600098,2971.410156,848235
02-07-2021,3032.949951,3038.800049,2999.75,3005,2955.086182,805542
05-07-2021,3020,3050,3007.100098,3014.800049,2964.723389,863343
06-07-2021,3003,3029.5,2996,3002.5,2952.627441,762630
07-07-2021,3065,3069,3011.25,3040.100098,2989.603271,1234865
08-07-2021,3050,3059,3018.800049,3028.300049,2977.999023,907391
09-07-2021,3022,3039.149902,3007,3010.600098,2960.593018,547082
12-07-2021,3034.899902,3042.850098,2991.050049,2999.399902,2949.578857,765566
13-07-2021,3020,3021.100098,2985.350098,2993.850098,2944.121094,703484
14-07-2021,3003,3007.75,2984.199951,3001.949951,2952.08667,470744
